Voornaam;Naam;Affiliatie;E-mail;Website;Role
Geert;Thijs;Digitaal Vlaanderen;;;B
Liesbet;D’Hondt;FOD BOSA;;;B
Mathieu;Tulpinck;Digitaal Vlaanderen;;;B

